Clause,Raw_Score
1,0
2,-3
3,-2
4,-2
5,0
6,4
7,4
8,0
9,-3
10,-4
11,-4
12,-4
13,-3
14,-3
15,-3
16,-4
17,-2
18,-2
19,-1
20,-3
21,-3
22,-3
23,-4
24,0
25,-2
26,-3
27,-4
28,-1
29,-1
30,1
31,4
32,3
33,3
34,3
35,2
36,2
37,3
38,2
39,-3
40,-3
41,-2
42,1
43,2
44,2
45,0
46,3
47,3
48,2
49,2
50,1
51,3
52,3
53,2
54,0
55,0
56,-1
57,-3
58,-2
59,-3
60,-5
61,2
62,3
63,3
64,-1
65,2
66,-1
67,-1
68,0
69,3
70,0
71,-2
72,-1
73,-3
74,0
75,1
76,-2
77,-3
78,2
79,2
80,-1
81,3
82,4
83,1
84,1
85,2
86,0
87,0
88,0
89,0
90,2
91,5
92,0
93,0
94,1
95,3
96,4
97,4
98,3
99,0
100,1
101,1
102,2
103,0
104,2
105,3
106,3
107,1
108,0
109,0
110,3
111,3
112,4
113,3
114,3
115,3
116,-1
117,-3
118,3
119,5
120,5
121,5
122,5
123,4
124,1
125,-1
126,-2
127,-2
128,-2
129,-3
130,2
131,5
132,3
133,3
134,4
135,3
136,2
137,2
138,1
139,4
140,4
141,5
142,3
143,2
144,2
145,2
146,4
147,4
148,5
149,5
150,2
151,3
152,4
153,2
154,0
155,2
156,-1
157,2
158,3
159,3
160,2
161,0
162,1
163,0
164,1
165,1
166,2
167,1
168,2
169,4
170,3
171,3
172,4
173,0
174,0
175,3
176,2
177,1
178,-1
179,-1
180,-2
181,-3
182,-5
183,-4
184,1
185,2
186,2
187,2
188,3
189,5
190,4
191,-2
192,-3
193,-2
194,-1
195,0
196,-1
197,2
198,-2
199,-2
200,-3
201,-2
202,1
203,1
204,0
205,-1
206,-2
207,-3
208,0
209,1
210,0
211,1
212,-1
213,1
214,3
215,2
216,3
217,0
218,3
219,4
220,2
221,1
222,-1
223,0
224,-2
225,-2
226,0
227,2
228,3
229,-3
230,0
231,1
232,3
233,3
234,3
235,2
236,2
237,4
238,4
239,2
240,4
241,4
242,3
243,4
244,5
245,3
246,1
247,2
248,3
249,4
250,5
251,5
252,4
253,5
254,4
255,4
256,5
257,4
