Clause,Raw_Score
1,-2
2,-3
3,-2
4,1
5,3
6,2
7,2
8,-5
9,-2
10,-3
11,1
12,0
13,1
14,-2
15,-1
16,1
17,-3
18,-4
19,-3
20,-2
21,-3
22,-3
23,-2
24,-2
25,-3
26,-3
27,-2
28,-3
29,-2
30,-2
31,-4
32,-3
33,-3
34,-3
35,-2
36,-3
37,-3
38,-2
39,-2
40,0
41,1
42,0
43,0
44,0
45,1
46,0
47,0
48,0
49,1
50,1
51,0
52,2
53,1
54,0
55,2
56,1
57,3
58,1
59,0
60,3
61,2
62,4
63,2
64,2
65,1
66,2
67,1
68,1
69,-1
70,-2
71,-2
72,0
73,-1
74,-3
75,-3
76,-2
77,-3
78,-2
79,-3
80,-2
81,-1
82,-2
83,-2
84,1
85,0
86,2
87,2
88,2
89,1
90,3
91,3
92,4
93,2
94,2
95,3
96,3
97,4
98,1
99,2
100,3
101,3
102,-3
103,-3
104,-3
105,-3
106,-3
107,-3
108,1
109,-2
110,0
111,2
112,2
113,2
114,1
115,3
116,3
117,4
118,2
119,2
120,3
121,3
122,4
123,1
124,-3
125,1
126,1
127,2
128,3
129,4
130,4
131,3
132,3
133,4
134,4
135,4
136,3
137,4
138,4
139,5
140,4
141,4
142,4
143,3
144,2
145,1
146,0
147,-1
148,1
149,2
150,1
151,0
152,-1
153,-2
154,-1
155,0
156,1
157,1
158,0
159,-1
160,-1
161,0
162,1
163,1
164,2
165,3
166,4
167,4
168,3
169,3
170,4
171,5
172,4
173,4
174,4
175,4
176,3
177,2
178,1
179,0
180,-1
181,1
182,2
183,1
184,0
185,-1
186,-2
187,-1
188,0
189,1
190,0
191,0
192,1
193,1
194,2
195,3
196,4
197,5
198,5
199,4
200,4
201,5
202,5
203,4
204,4
205,4
206,3
207,2
208,1
209,0
210,-1
211,-2
212,-1
213,2
214,3
215,2
216,1
217,0
218,-1
219,-1
220,0
221,2
222,3
223,2
224,1
225,2
226,1
227,0
228,-1
229,-2
230,-3
231,-4
232,-3
233,-2
234,-1
235,0
236,-2
237,-3
238,-3
239,-4
240,-3
241,-2
242,-1
243,0
244,1
245,-1
246,-4
247,-3
248,-2
249,-1
250,0
251,-2
252,-3
253,-3
254,-4
255,-4
256,-3
257,-2
258,-1
259,0
260,1
261,-1
262,-4
263,-3
264,-2
265,0
266,-1
267,0
268,1
269,1
270,2
271,2
272,3
273,3
274,4
275,4
276,5
277,5
278,4
279,4
280,5
281,3
282,2
283,3
284,4
285,4
286,3
287,4
288,4
289,3
290,3
291,2
292,3
293,3
294,4
295,4
296,2
297,1
298,0
299,-1
300,-2
301,-3
302,-4
303,-3
304,-2
305,-3
306,-4
307,-3
308,-2
309,-1
310,0
311,-2
312,-3
313,-2
314,-1
315,0
