Clause,Raw_Score
1,0
2,0
3,0
4,-3
5,1
6,3
7,2
8,4
9,-5
10,-4
11,-4
12,2
13,3
14,2
15,2
16,0
17,1
18,3
19,5
20,4
21,-2
22,-3
23,2
24,-3
25,-2
26,-3
27,-2
28,-4
29,-4
30,-5
31,-3
32,-2
33,-5
34,1
35,-4
36,-3
37,-3
38,0
39,-4
40,-5
41,1
42,3
43,2
44,2
45,-3
46,-2
47,3
48,4
49,4
50,2
51,5
52,2
53,0
54,-3
55,1
56,2
57,4
58,4
59,-2
60,-3
61,-3
62,-2
63,-1
64,0
65,0
66,1
67,1
68,0
69,0
70,2
71,2
72,0
73,1
74,0
75,-1
76,0
77,-1
78,3
79,3
80,-2
81,-3
82,-1
83,0
84,-1
85,-2
86,0
87,0
88,2
89,3
90,4
91,3
92,5
93,2
94,4
95,-3
96,1
97,0
98,-1
99,1
100,2
101,2
102,5
103,-3
104,-2
105,3
106,-4
107,1
108,2
109,2
110,-3
111,-2
112,-4
